learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-06,True,20,12,Sigmoid,5.293179512023926,6.8003034591674805,16
0.01,1e-05,True,18,6,Sigmoid,6.213085651397705,6.803608417510986,64
0.01,1e-07,True,14,24,Sigmoid,7.1279826164245605,6.826603889465332,256
0.01,0.0001,True,16,12,Sigmoid,6.9174981117248535,6.835801124572754,512
0.01,1e-06,True,16,24,Sigmoid,6.939740180969238,6.847995758056641,1024
0.01,1e-06,True,14,24,Sigmoid,6.79144287109375,6.853813171386719,64
0.01,1e-06,True,16,12,Sigmoid,5.195651054382324,6.881446361541748,16
0.01,1e-05,True,18,12,Sigmoid,6.957622528076172,6.895768642425537,512
0.01,0.0001,True,16,12,Sigmoid,5.443981170654297,6.935090065002441,16
0.01,1e-05,True,12,12,Sigmoid,7.189214706420898,6.936327934265137,256
0.01,1e-06,True,18,6,Sigmoid,6.738286972045898,6.9412126541137695,128
0.01,1e-07,True,16,6,Sigmoid,5.571805953979492,6.9461283683776855,16
0.01,0.0001,True,12,12,Sigmoid,6.941637992858887,6.947932243347168,128
0.01,1e-07,True,16,6,Sigmoid,7.004578590393066,6.948312759399414,1024
0.01,1e-06,True,16,12,Sigmoid,6.23817777633667,6.9500732421875,32
0.01,0.0001,True,12,24,Sigmoid,7.066989421844482,6.984062671661377,512
0.01,1e-07,True,16,24,Sigmoid,7.093830108642578,6.993939399719238,512
0.01,1e-06,True,16,24,Sigmoid,7.292782783508301,7.004860877990723,256
0.01,1e-05,True,16,24,Sigmoid,7.128998279571533,7.022259712219238,1024
0.01,0.0001,True,14,24,Sigmoid,6.971892356872559,7.034984588623047,64
0.01,1e-06,True,10,24,Sigmoid,7.145886421203613,7.037378787994385,1024
0.01,0.0001,True,14,6,Sigmoid,7.257144451141357,7.041055679321289,256
0.01,1e-07,True,16,12,Sigmoid,7.34229850769043,7.096139907836914,256
0.01,1e-07,True,14,6,Sigmoid,6.969060897827148,7.104205131530762,128
0.01,1e-07,True,18,6,Sigmoid,5.414010047912598,7.1070380210876465,16
0.01,0.0001,True,12,12,Sigmoid,6.9582295417785645,7.111771583557129,64
0.01,0.0001,True,14,12,Sigmoid,7.10359001159668,7.117977619171143,64
0.01,1e-05,True,16,24,Sigmoid,7.401480197906494,7.120721340179443,256
0.01,1e-05,True,14,24,Sigmoid,7.048341274261475,7.128121852874756,64
0.01,1e-06,True,14,12,Sigmoid,7.196544647216797,7.13881778717041,512
0.01,0.0001,True,14,24,Sigmoid,6.182644367218018,7.13909387588501,16
0.01,1e-05,True,14,24,Sigmoid,7.261399745941162,7.147218704223633,512
0.01,1e-07,True,16,12,Sigmoid,6.073636054992676,7.148171901702881,32
0.01,1e-07,True,16,6,Sigmoid,6.268921375274658,7.171408653259277,32
0.01,0.0001,True,20,24,Sigmoid,6.629966735839844,7.179754734039307,32
0.01,1e-07,True,14,24,Sigmoid,7.329867839813232,7.18895959854126,512
0.01,1e-06,True,16,12,Sigmoid,7.438271522521973,7.196008205413818,256
0.01,0.0001,True,14,12,Sigmoid,5.791990280151367,7.208603382110596,16
0.01,0.0001,True,14,6,Sigmoid,6.912387847900391,7.253448963165283,128
0.01,1e-05,True,12,24,Sigmoid,7.335699081420898,7.254914283752441,128
0.01,1e-06,True,14,12,Sigmoid,7.570487976074219,7.258606910705566,256
0.01,1e-05,True,14,24,Sigmoid,7.480111122131348,7.293323993682861,256
0.01,0.0001,True,14,12,Sigmoid,7.372920513153076,7.302104949951172,512
0.01,0.0001,True,14,24,Sigmoid,7.6023101806640625,7.318323135375977,256
0.01,1e-06,True,18,24,Sigmoid,6.292272567749023,7.320494174957275,16
0.01,1e-07,True,12,24,Sigmoid,7.422163963317871,7.32136869430542,1024
0.01,1e-05,True,14,12,Sigmoid,6.450373649597168,7.3223876953125,32
0.01,1e-07,True,18,24,Sigmoid,7.646412372589111,7.336814880371094,256
0.01,1e-05,True,16,6,Sigmoid,5.737232685089111,7.342000961303711,16
0.01,1e-05,True,14,24,Sigmoid,7.447910308837891,7.34236478805542,1024
0.01,0.0001,True,16,6,Sigmoid,6.764745712280273,7.35224723815918,32
0.01,1e-06,True,12,12,Sigmoid,7.62119197845459,7.36488151550293,256
0.01,1e-07,True,12,12,Sigmoid,7.4085259437561035,7.385294437408447,128
0.01,0.0001,True,12,24,Sigmoid,7.495672225952148,7.386878490447998,1024
0.01,1e-07,True,14,24,Sigmoid,7.299559593200684,7.412504196166992,64
0.01,1e-06,True,18,6,Sigmoid,5.6711602210998535,7.424865245819092,16
0.01,0.0001,True,12,6,Sigmoid,6.829730033874512,7.428345203399658,64
0.01,1e-07,True,14,6,Sigmoid,7.523346900939941,7.433382511138916,1024
0.01,1e-06,True,18,6,Sigmoid,6.212214469909668,7.4379191398620605,32
0.01,1e-07,True,18,6,Sigmoid,7.663100719451904,7.461183547973633,256
0.01,0.0001,True,14,24,Sigmoid,7.574038028717041,7.480274200439453,1024
0.01,1e-07,True,16,24,Sigmoid,7.82241153717041,7.4829511642456055,256
0.01,1e-06,True,16,12,Sigmoid,7.327966690063477,7.483409881591797,64
0.01,0.0001,True,16,12,Sigmoid,6.833957672119141,7.509158134460449,32
0.01,1e-06,True,14,6,Sigmoid,7.560369968414307,7.521477699279785,512
0.01,1e-06,True,14,12,Sigmoid,7.56201696395874,7.560885429382324,128
0.01,1e-06,True,12,6,Sigmoid,7.768495559692383,7.563544273376465,256
0.01,1e-05,True,14,24,Sigmoid,7.2202911376953125,7.581515789031982,32
0.01,1e-06,True,16,6,Sigmoid,7.669684410095215,7.58633279800415,1024
0.01,1e-07,True,20,6,Sigmoid,6.610931396484375,7.5874176025390625,32
0.01,1e-05,True,12,12,Sigmoid,7.591151237487793,7.594541549682617,128
0.01,1e-07,True,12,12,Sigmoid,7.467474460601807,7.599341869354248,64
0.01,1e-06,True,16,6,Sigmoid,6.088746070861816,7.615664005279541,16
0.01,0.0001,True,16,12,Sigmoid,7.420034408569336,7.629012107849121,64
0.01,1e-07,True,16,6,Sigmoid,7.147975921630859,7.649017810821533,64
0.01,0.0001,True,16,6,Sigmoid,7.6045942306518555,7.652360439300537,128
0.01,1e-05,True,10,24,Sigmoid,7.6152801513671875,7.66182804107666,64
0.01,0.0001,True,16,24,Sigmoid,7.94120979309082,7.666577339172363,256
0.01,0.0001,True,14,6,Sigmoid,7.732708930969238,7.674910068511963,1024
0.01,1e-05,True,14,12,Sigmoid,7.7759504318237305,7.693909645080566,1024
0.01,1e-07,True,12,12,Sigmoid,7.962337493896484,7.694565773010254,256
0.01,0.0001,True,16,24,Sigmoid,7.20477819442749,7.701528549194336,32
0.01,1e-05,True,12,24,Sigmoid,7.814447402954102,7.711055278778076,512
0.01,1e-06,True,14,24,Sigmoid,7.81107234954834,7.713130474090576,1024
0.01,1e-06,True,14,24,Sigmoid,7.838221549987793,7.736118316650391,512
0.01,1e-06,True,14,6,Sigmoid,7.95733118057251,7.742264270782471,256
0.01,1e-06,True,12,12,Sigmoid,7.85051155090332,7.750222206115723,1024
0.01,1e-06,True,12,6,Sigmoid,6.85226583480835,7.760465621948242,32
0.01,1e-05,True,14,6,Sigmoid,7.425282001495361,7.760687828063965,64
0.01,1e-07,True,14,12,Sigmoid,7.029810428619385,7.764298439025879,32
0.01,1e-05,True,10,24,Sigmoid,7.95250129699707,7.812305450439453,1024
0.01,1e-05,True,12,24,Sigmoid,8.100543975830078,7.820416450500488,256
0.01,1e-06,True,18,12,Sigmoid,6.424436569213867,7.834157943725586,16
0.01,1e-05,True,20,12,Sigmoid,7.038753032684326,7.851072311401367,32
0.01,1e-06,True,12,6,Sigmoid,7.936491966247559,7.894351959228516,128
0.01,1e-06,True,12,6,Sigmoid,7.980939865112305,7.926403045654297,1024
0.01,1e-07,True,14,12,Sigmoid,7.876563549041748,7.929155349731445,64
0.01,0.0001,True,14,24,Sigmoid,7.610280513763428,7.945839881896973,32
0.01,1e-07,True,12,6,Sigmoid,7.987269401550293,7.960141658782959,512
0.01,1e-07,True,12,12,Sigmoid,8.041688919067383,7.96376371383667,1024
0.01,0.0001,True,14,6,Sigmoid,7.370171070098877,7.967895030975342,64
0.01,0.0001,True,12,6,Sigmoid,6.751495361328125,7.978072166442871,32
0.01,1e-06,True,14,24,Sigmoid,7.741117477416992,8.021310806274414,32
0.01,1e-06,True,14,6,Sigmoid,7.219897270202637,8.02334213256836,32
0.01,1e-06,True,14,6,Sigmoid,7.896387100219727,8.054027557373047,128
0.01,1e-07,True,14,12,Sigmoid,8.070127487182617,8.090636253356934,128
