optimizer,learning_rate,weight_decay,beta_1,beta_2,eps,num_epochs,batch_size,layer_depth,n_layers,activation_function,train_error,test_error,training_set_size,train_time,version,scenario
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.055115729570388794,0.08117986470460892,1024,4,1,projectile
adam,0.001,1e-07,0.9,0.99,1e-08,2000,128.0,16,6,Sigmoid,0.056224822998046875,0.08126484602689743,1024,39,1,projectile
adam,0.001,0.0001,0.9,0.99,1e-08,2000,64.0,16,6,Sigmoid,0.054819025099277496,0.08127965778112411,512,37,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,128.0,16,6,Sigmoid,0.0640585720539093,0.08138975501060486,1024,39,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,64.0,4,12,Sigmoid,0.09241708368062973,0.08140482753515244,256,35,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.0504009835422039,0.08145444095134735,512,10,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.05183068662881851,0.08156184107065201,512,8,1,projectile
adam,0.001,0.0001,0.9,0.99,1e-08,2000,128.0,4,12,Sigmoid,0.08124248683452606,0.08177953213453293,1024,71,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.042147405445575714,0.08205333352088928,1024,8,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.04790712520480156,0.08242633938789368,512,8,1,projectile
adam,0.001,1e-07,0.9,0.99,1e-08,2000,64.0,8,6,Sigmoid,0.07523532211780548,0.08255442976951599,1024,74,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,512.0,4,6,Sigmoid,0.07727476954460144,0.08282361924648285,1024,13,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.08597889542579651,0.08311785757541656,512,10,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,8,12,Sigmoid,0.08301281929016113,0.08313271403312683,512,19,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.05989944189786911,0.08325067162513733,1024,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.07499615848064423,0.0834350436925888,512,19,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.0504438653588295,0.08365543186664581,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,32.0,4,12,Sigmoid,0.07188595831394196,0.08368950337171555,512,137,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,64.0,8,12,Sigmoid,0.07398901879787445,0.08406659960746765,1024,141,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.04196856543421745,0.08437461405992508,1024,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.015680767595767975,0.0849851667881012,256,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.021901939064264297,0.08542896062135696,256,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,512.0,8,6,Sigmoid,0.06860760599374771,0.0856940820813179,1024,13,1,projectile
adam,0.001,1e-05,0.9,0.99,1e-08,2000,64.0,16,6,Sigmoid,0.07938377559185028,0.08581773936748505,1024,74,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.06292197108268738,0.08597312867641449,512,8,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.056583672761917114,0.08602205663919449,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,4,12,Sigmoid,0.06723202764987946,0.08611136674880981,512,35,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.07504477351903915,0.08624126762151718,1024,38,1,projectile
adam,0.001,1e-07,0.9,0.99,1e-08,2000,64.0,16,6,Sigmoid,0.06788421422243118,0.08663669973611832,512,37,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.07217568159103394,0.08664340525865555,512,19,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.09318423271179199,0.08689645677804947,512,18,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,128.0,4,12,Sigmoid,0.09672746062278748,0.08702829480171204,256,17,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.03925984725356102,0.08705373108386993,1024,8,1,projectile
adam,0.001,1e-05,0.9,0.99,1e-08,2000,512.0,16,6,Sigmoid,0.05961521714925766,0.08733819425106049,1024,13,1,projectile
adam,0.001,1e-05,0.9,0.99,1e-08,2000,64.0,16,6,Sigmoid,0.0752592384815216,0.08746641874313354,512,37,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.07835699617862701,0.08857987821102142,256,9,1,projectile
adam,0.001,1e-06,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.07094889879226685,0.0888175517320633,1024,21,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,4,12,Sigmoid,0.08044067025184631,0.08886043727397919,1024,72,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,512.0,16,6,Sigmoid,0.07218226790428162,0.08891595155000687,1024,13,1,projectile
adam,0.001,0.0001,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.08830348402261734,0.08905120193958282,1024,39,1,projectile
adam,0.001,1e-06,0.9,0.99,1e-08,2000,128.0,16,6,Sigmoid,0.07362084090709686,0.08968403190374374,1024,39,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.08831077069044113,0.089922234416008,1024,9,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,64.0,8,6,Sigmoid,0.05649552866816521,0.09030003845691681,512,37,1,projectile
adam,0.001,1e-05,0.9,0.99,1e-08,2000,128.0,16,6,Sigmoid,0.06316747516393661,0.090347059071064,1024,39,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.12366929650306702,0.09067000448703766,1024,4,1,projectile
adam,0.001,1e-05,0.9,0.99,1e-08,2000,32.0,8,6,Sigmoid,0.09926494210958481,0.09068219363689423,1024,144,1,projectile
