learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,1e-05,True,20,24,Sigmoid,0.0074704508297145,0.0169338770210742,1024,8,1000,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0088966134935617,0.0170018449425697,512,2,1000,sobol
0.001,1e-06,True,20,6,Sigmoid,0.0158038679510355,0.0170095227658748,8192,8,1000,sobol
0.01,1e-05,True,20,12,Sigmoid,0.0160790625959634,0.0170597378164529,4096,9,1000,sobol
0.001,0.0001,True,20,24,Sigmoid,0.0153393782675266,0.0171246752142906,8192,33,1000,sobol
0.01,1e-06,True,12,24,Sigmoid,0.0181138087064027,0.0171251911669969,4096,14,1000,sobol
0.001,1e-06,True,16,12,Sigmoid,0.0155064919963479,0.0171908996999263,4096,8,1000,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0114209624007344,0.0171960778534412,2048,5,1000,sobol
0.01,0.0001,True,20,12,Sigmoid,0.014785005711019,0.0173194147646427,8192,17,1000,sobol
0.01,1e-07,True,12,24,Sigmoid,0.0093328095972538,0.0173196494579315,2048,9,1000,sobol
0.001,1e-05,True,20,6,Sigmoid,0.0150979254394769,0.0173752252012491,4096,5,1000,sobol
0.001,1e-06,True,20,6,Sigmoid,0.0116841504350304,0.0174860619008541,1024,1,1000,sobol
0.001,1e-06,True,16,6,Sigmoid,0.0169001948088407,0.0176249332726001,8192,6,1000,sobol
0.01,1e-07,True,20,24,Sigmoid,0.0134880747646093,0.0176486857235431,8192,33,1000,sobol
0.01,1e-05,True,12,24,Sigmoid,0.010423575527966,0.017657620832324,2048,9,1000,sobol
0.001,1e-07,True,12,6,Sigmoid,0.0152063081040978,0.0176691245287656,2048,2,1000,sobol
0.001,0.0001,True,20,6,Sigmoid,0.0141430525109171,0.0176894776523113,2048,3,1000,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0137538556009531,0.0177042204886674,8192,10,1000,sobol
0.001,1e-07,True,16,6,Sigmoid,0.014346613548696,0.0177447851747274,2048,2,1000,sobol
0.01,1e-07,True,20,24,Sigmoid,0.0087646413594484,0.0177818834781646,2048,12,1000,sobol
0.01,1e-06,True,16,24,Sigmoid,0.0126518290489912,0.0179720818996429,4096,16,1000,sobol
0.001,1e-05,True,20,6,Sigmoid,0.015090356580913,0.0179793685674667,2048,3,1000,sobol
0.01,1e-05,True,20,24,Sigmoid,0.0127630326896905,0.018013097345829,4096,19,1000,sobol
0.01,1e-06,True,8,12,Sigmoid,0.0081959310919046,0.0180271882563829,2048,4,1000,sobol
0.001,1e-05,True,16,6,Sigmoid,0.0128021910786628,0.0181148909032344,1024,1,1000,sobol
0.01,1e-05,True,12,24,Sigmoid,0.0106508173048496,0.01814616471529,1024,6,1000,sobol
0.001,1e-06,True,20,6,Sigmoid,0.0149476025253534,0.0181536599993705,2048,3,1000,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0061182603240013,0.0181701090186834,256,1,1000,sobol
0.01,0.0001,True,20,12,Sigmoid,0.0174372680485248,0.0183510929346084,1024,3,1000,sobol
0.001,1e-07,True,16,6,Sigmoid,0.0158535260707139,0.0184884332120418,4096,4,1000,sobol
0.01,1e-06,True,20,12,Sigmoid,0.0156256258487701,0.0184996761381626,2048,5,1000,sobol
0.01,0.0001,True,12,24,Sigmoid,0.0101690478622913,0.0187151692807674,512,5,1000,sobol
0.001,1e-06,True,20,12,Sigmoid,0.0161454677581787,0.0187209174036979,8192,17,1000,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0145489666610956,0.0187563262879848,512,1,1000,sobol
0.01,1e-05,True,20,12,Sigmoid,0.0155567191541194,0.0189116299152374,1024,3,1000,sobol
0.001,0.0001,True,20,12,Sigmoid,0.0174405854195356,0.0189372412860393,4096,9,1000,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0061951903626322,0.0192580483853817,256,1,1000,sobol
0.01,0.0001,True,8,6,Sigmoid,0.0174479968845844,0.0193086825311183,4096,3,1000,sobol
0.001,1e-06,True,8,12,Sigmoid,0.0174573734402656,0.0194758139550685,4096,5,1000,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0200075916945934,0.0194806717336177,8192,13,1000,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0143751502037048,0.0194904096424579,1024,2,1000,sobol
0.001,1e-06,True,16,6,Sigmoid,0.0153463371098041,0.0195345841348171,2048,2,1000,sobol
